"logFC","logCPM","LR","PValue","FDR","ENTREZID","SYMBOL","GENENAME"
-8.94057876233065,10.264297085213,24.8978934480548,6.04484413411995e-07,0.000437796061006392,"110308","Krt5","keratin 5"
-8.63650322368732,5.74978133179509,24.8003744615518,6.35851156784112e-07,0.000437796061006392,"50916","Irx4","Iroquois homeobox 4"
-8.36224663952483,6.79478831161186,24.6852649626744,6.74982673346515e-07,0.000437796061006392,"12293","Cacna2d1","calcium channel, voltage-dependent, alpha2/delta subunit 1"
-8.41943284167354,6.12437708663953,24.4153236199355,7.76486060678344e-07,0.000437796061006392,"56069","Il17b","interleukin 17B"
-9.29069096294918,6.75716309637451,24.3250643204936,8.13733139179602e-07,0.000437796061006392,"24117","Wif1","Wnt inhibitory factor 1"
-8.21679049706499,8.17224719522662,24.2423312176304,8.49446249109283e-07,0.000437796061006392,"12818","Col14a1","collagen, type XIV, alpha 1"
-8.03471153649829,7.25537036386201,24.1698717203818,8.82013465912257e-07,0.000437796061006392,"22061","Trp63","transformation related protein 63"
-9.00141941214328,9.91079514972234,24.1285384862161,9.01148673742449e-07,0.000437796061006392,"12797","Cnn1","calponin 1"
-7.69702190662285,10.8096288076461,24.0692626409791,9.29319315157924e-07,0.000437796061006392,"50706","Postn","periostin, osteoblast specific factor"
-8.16745112266521,5.21592064670364,24.0352763681649,9.45867764308174e-07,0.000437796061006392,"237979","Sdk2","sidekick cell adhesion molecule 2"
-8.23078753636231,5.93310856269733,23.9450662053504,9.91239921547635e-07,0.000437796061006392,"17540","Irag1","inositol 1,4,5-triphosphate receptor associated 1"
-7.90363686651977,5.86679922976303,23.9344691455619,9.96711108286719e-07,0.000437796061006392,"54216","Pcdh7","protocadherin 7"
-8.80174566747436,4.78397398613096,23.8362243723349,1.04889832637659e-06,0.000437796061006392,"226922","Kcnq5","potassium voltage-gated channel, subfamily Q, member 5"
-8.87569894715232,12.6133241617242,23.7863351443028,1.07643960144834e-06,0.000437796061006392,"11475","Acta2","actin alpha 2, smooth muscle, aorta"
-8.1964541987452,4.25309333470597,23.7464193751661,1.09899641126084e-06,0.000437796061006392,"77220","Tmem200a","transmembrane protein 200A"
